GISJOIN,ZCTA5CE10
G2601250150400,48304
G2601250150500,48304
G2601250150000,48304
G2600030000300,49895
G2601190910500,49756
G2601350970201,49756
G2600310960700,49765
G2601410950400,49765
G2801170950100,38829
G2801170950200,38829
G2801170950300,38829
G2801170950400,38829
G2800970950200,39747
G2801150950400,38863
G2801150950102,38863
G2801150950200,38863
G2801150950300,38863
G2801070950100,38666
G2801070950300,38666
G2801070950200,38666
G2900930950400,63620
G2900950005300,64109
G2900950005100,64109
G2900950005500,64109
G2900950017800,64109
G2900950005200,64109
G2900950005400,64109
G3000490000501,59602
G3000490000502,59602
G3000490000400,59602
G3000490001202,59602
G3100890974300,68763
G3100890974000,68763
G3300110021000,03281
G3400170018301,07030
G3400170018302,07030
G3400170018702,07030
G3400170018400,07030
G3400170018500,07030
G3400170018600,07030
G3400170018701,07030
G3400170018800,07030
G3400170018900,07030
G3400170019000,07030
G3400170019100,07030
G3400170019200,07030
G3400170019300,07030
G3400170019400,07030
G3400130016400,07042
G3400130016500,07042
G3400130016600,07042
G3400130016700,07042
G3400130016800,07042
G3400130016900,07042
G3400130017000,07042
G3400130017100,07042
G3400130017200,07042
G3500490010601,87508
G3500490980000,87508
G3500490010602,87508
G3500490010700,87508
G3500490010603,87508
G3600650023702,13440
G3600650022800,13440
G3600650022200,13440
G3600650022400,13440
G3600650021900,13440
G3600650022500,13440
G3600650022000,13440
G3600650022100,13440
G3600650022701,13440
G3600650022702,13440
G3600650025900,13440
G3600650023000,13440
G3600650024301,13440
G3600650026300,13440
G3600810067100,11379
G3600810061900,11379
G3600810061302,11379
G3600810060300,11379
G3600810060701,11379
G3600810065501,11379
G3600810065702,11379
G3600810050500,11379
G3600810065900,11379
G3600810050700,11379
G3600810066100,11379
G3600810066300,11379
G3600810066501,11379
G3600810066900,11379
G3600810067700,11379
G3600810067900,11379
G3600810062100,11379
G3600810065703,11379
G3600470025100,11216
G3600470026500,11216
G3600470026700,11216
G3600470026900,11216
G3600470021900,11216
G3600470031300,11216
G3600470022100,11216
G3600470031500,11216
G3600470031701,11216
G3600470031702,11216
G3600470024300,11216
G3600470024500,11216
G3600470024700,11216
G3600470024900,11216
G3600550006400,14611
G3600550007500,14611
G3600550006600,14611
G3600550009601,14611
G3600550006300,14611
G3600550008702,14611
G3600550009602,14611
G3600550009604,14611
G3600550007000,14611
G3701210950300,28777
G3701210950400,28777
G3701490920200,28756
G3701950001300,27822
G3701950000600,27822
G3700890931100,28792
G3700890931300,28792
G3700890930200,28792
G3700890930402,28792
G3700890930401,28792
G3700890930300,28792
G3700890931000,28792
G3700890930501,28792
G3700890930100,28792
G3901190912300,43701
G3901190912700,43701
G3901190912100,43701
G3901190912200,43701
G3901190912000,43701
G3901190912400,43701
G3901190911300,43701
G3901190911400,43701
G3901190911500,43701
G3901190911600,43701
G3901190911700,43701
G3901190911800,43701
G3901190911900,43701
G3901390001700,44903
G3901390000500,44903
G3901390000700,44903
G3901390002300,44903
G3901390001900,44903
G3900250040101,45176
G3900250040900,45176
G4001130940001,74035
G4000630484600,74883
G4000890098300,74766
G4100290002800,97525
G4100390000800,97405
G4100390005100,97405
G4100390005200,97405
G4100390004800,97405
G4100390004700,97405
G4100390004600,97405
G4100390005000,97405
G4100390003600,97405
G4100390004405,97405
G4100390004404,97405
G4100390001002,97405
G4100390005300,97405
G4100390001101,97405
G4100390005400,97405
G4200550010500,17222
G4201290807900,15717
G4200630962100,15717
G4200630962000,15717
G4200630961900,15717
G4200310160500,16049
G4200190910100,16049
G4200050951100,16201
G4200050950500,16201
G4200050950600,16201
G4200110000500,19604
G4200110000600,19604
G4200110000700,19604
G4200110000800,19604
G4200110001400,19604
G4200110001500,19604
G4200110001600,19604
G4400090050500,02822
G4500230020601,29706
G4500230020200,29706
G4500230020300,29706
G4500230020602,29706
G4500230020400,29706
G4500230020100,29706
G4500230020500,29706
G4500450002610,29687
G4500450002606,29687
G4500450002611,29687
G4500450002702,29687
G4500450001803,29687
G4500450002604,29687
G4500450002602,29687
G4500450001804,29687
G4500450001700,29687
G4500510070300,29526
G4500510070200,29526
G4500510060301,29526
G4500510070101,29526
G4500510060403,29526
G4500510070701,29526
G4500510070102,29526
G4500510060406,29526
G4500510060405,29526
G4500510060101,29526
G4500510060404,29526
G4500510060308,29526
G4500750011400,29115
G4500750011200,29115
G4500750011300,29115
G4500750010700,29115
G4500750010600,29115
G4500750011500,29115
G4701410001100,38544
G4701410001000,38544
G4700350970501,38555
G4700350970400,38555
G4700350970603,38555
G4700350970502,38555
G4700350970601,38555
G4701590975000,37145
G4701490040702,37037
G4701490040701,37037
G4701670040602,38019
G4701670040700,38019
G4701670040400,38019
G4701670040900,38019
G4701670040601,38019
G4700310970100,37355
G4700310970400,37355
G4700310970500,37355
G4700310970200,37355
G4700310970600,37355
G4700310980100,37355
G4700170962400,38321
G4700750930500,38069
G4804510001702,76901
G4804510001704,76901
G4804510001200,76901
G4804510001102,76901
G4804510001000,76901
G4804510001101,76901
G4801550950100,79227
G4802750950100,79227
G4801990030200,77659
G4800390661900,77583
G4800390661800,77583
G4801090950300,79855
G4803310950700,76567
G4803310950300,76567
G4804550950200,75845
G4804550950100,75845
G4802450002600,77705
G4802450002500,77705
G4802450002200,77705
G4802450011201,77705
G4802450011202,77705
G4802450011304,77705
