GISJOIN,ZCTA5CE10
G0100650040500,36742
G0101070050100,35481
G0100730003001,35254
G0201220000800,99556
G0400070000500,85541
G0400070000300,85541
G0400070000200,85541
G0400070000400,85541
G0400250000202,86323
G0400250002000,86326
G0400030000400,85638
G0400030001000,85638
G0501230960600,72335
G0501230960400,72335
G0501230960500,72335
G0501230960200,72335
G0500190953600,71923
G0500190953800,71923
G0600770002400,95206
G0600770003802,95206
G0600770002800,95206
G0600770002300,95206
G0600770002200,95206
G0600770000700,95206
G0600770002501,95206
G0600770003801,95206
G0600770003900,95206
G0600770002502,95206
G0600730020902,92036
G0600730020904,92036
G0600090000210,95252
G0600650045603,92274
G0600650045605,92274
G0601050000400,95552
G0600770004600,95220
G0600370134710,91306
G0600370134800,91306
G0600370134720,91306
G0600370134000,91306
G0600370134101,91306
G0600370113422,91306
G0600370134103,91306
G0600370134104,91306
G0600290005202,93283
G0600290000907,93306
G0600290001103,93306
G0600290001101,93306
G0600290000906,93306
G0600290001102,93306
G0600290000904,93306
G0600290000905,93306
G0600290000910,93306
G0600290000908,93306
G0600290000903,93306
G0600290005104,93306
G0600290000909,93306
G0600290000902,93306
G0600230010101,95546
G0800590009805,80403
G0800590009842,80403
G0800590009843,80403
G0800590009808,80403
G0800470013800,80422
G0800310004306,80220
G0800310004303,80220
G0800310004304,80220
G0800310004403,80220
G0800310004404,80220
G0800310004201,80220
G0800310004202,80220
G0800310004302,80220
G0800310004301,80220
G0800490000200,80446
G1100010001801,20307
G1201050014302,33898
G1201050014201,33898
G1201050014202,33898
G1201050015401,33898
G1201050015600,33898
G1201050014203,33898
G1201050015700,33898
G1200860003701,33132
G1200860003702,33132
G1302790970400,30474
G1302090950100,30474
G1302790970200,30474
G1302790970300,30474
G1301830980100,31316
G1301830980200,31316
G1300650970100,31634
G1300650970200,31634
G1300890022402,30322
G1300370950100,39862
G1300070960200,39862
G1500070040800,96716
G1600290960200,83276
G1600310950200,83323
G1700310671300,60636
G1700310670900,60636
G1700310670800,60636
G1700310671100,60636
G1700310671000,60636
G1700310671800,60636
G1700310660700,60636
G1700310671400,60636
G1700310671900,60636
G1700310670700,60636
G1700310670200,60636
G1700310670400,60636
G1700310660100,60636
G1700310672000,60636
G1700310670300,60636
G1700310670500,60636
G1700310671200,60636
G1700310671600,60636
G1700310671500,60636
G1700310671700,60636
G1700310630600,60636
G1700310670100,60636
G1700310670600,60636
G1700310210900,60618
G1700310051500,60618
G1700310050900,60618
G1700310050400,60618
G1700310160800,60618
G1700310050500,60618
G1700310160700,60618
G1700310051400,60618
G1700310160400,60618
G1700310160600,60618
G1700310050300,60618
G1700310051100,60618
G1700310210200,60618
G1700310210300,60618
G1700310160500,60618
G1700310050200,60618
G1700310160900,60618
G1700310210100,60618
G1700310051000,60618
G1700310210800,60618
G1700310210700,60618
G1700310210600,60618
G1700310210500,60618
G1700310050800,60618
G1700310808302,60053
G1700310805302,60053
G1700310808500,60053
G1700310808400,60053
G1700310805301,60053
G1700310808301,60053
G1700310824800,60469
G1800050010700,47201
G1800050010200,47201
G1800050010100,47201
G1800050010800,47201
G1800050011000,47201
G1800050011500,47201
G1800050010900,47201
G1800050011100,47201
G1801250953900,47585
G1901530004501,50315
G1901530004502,50315
G1901530004700,50315
G1901530004100,50315
G1901530004300,50315
G1901530004400,50315
G1901530004602,50315
G1901530004200,50315
G1900210960400,50588
G1900210960500,50588
G2100510950100,40972
G2101510011100,40403
G2101510011300,40403
G2101510011200,40403
G2102030950300,40456
G2102030950100,40456
G2100810980100,41035
G2100810980200,41035
G2102170980400,42718
G2102170980100,42718
G2102170980300,42718
G2102170980200,42718
G2102170980500,42718
G2101790990700,40051
G2200370951600,70722
G2201050953600,70422
G2201050953500,70422
G2201130950700,70510
G2201130950500,70510
G2201130950900,70510
G2201130950600,70510
G2201130950800,70510
G2201190031700,71055
G2201190031500,71055
G2201190032000,71055
G2201190031800,71055
G2201190031900,71055
G2201190031600,71055
G2500170318100,01886
G2500170318400,01886
G2500170318300,01886
G2500170318200,01886
G2601250150500,48304
G2601250150400,48304
G2601250150000,48304
G2601250152000,48304
G2600030980300,49895
G2601350970200,49756
G2601190990500,49756
G2600310960700,49765
G2601410950400,49765
G2801170950100,38829
G2801170950300,38829
G2801170950200,38829
G2801170950400,38829
G2800970950200,39747
G2801150950100,38863
G2801150950400,38863
G2801150950200,38863
G2801150950300,38863
G2801070950200,38666
G2801070950300,38666
G2801070950100,38666
G2900930970400,63620
G2900950005100,64109
G2900950005500,64109
G2900950005400,64109
G2900950005300,64109
G2900950004000,64109
G2900950004900,64109
G2900950005200,64109
G2900950005000,64109
G2900950004200,64109
G3000490001200,59602
G3000490000500,59602
G3000490000400,59602
G3100890974000,68763
G3100890974300,68763
G3300110021000,03281
G3400170018500,07030
G3400170019400,07030
G3400170018900,07030
G3400170018800,07030
G3400170019100,07030
G3400170019200,07030
G3400170018300,07030
G3400170018400,07030
G3400170018600,07030
G3400170019300,07030
G3400170018700,07030
G3400170019000,07030
G3400130017000,07042
G3400130017200,07042
G3400130016700,07042
G3400130016600,07042
G3400130017100,07042
G3400130016800,07042
G3400130016400,07042
G3400130016500,07042
G3400130016900,07042
G3500490010600,87508
G3500490010305,87508
G3500490010700,87508
G3600650022500,13440
G3600650022900,13440
G3600650022800,13440
G3600650022200,13440
G3600650022100,13440
G3600650023702,13440
G3600650022400,13440
G3600650024301,13440
G3600650022000,13440
G3600650022702,13440
G3600650022300,13440
G3600650022701,13440
G3600650021800,13440
G3600650023000,13440
G3600650021900,13440
G3600810065900,11379
G3600810050500,11379
G3600810065701,11379
G3600810061300,11379
G3600810067102,11379
G3600810060300,11379
G3600810066500,11379
G3600810060700,11379
G3600810067101,11379
G3600810066100,11379
G3600810066300,11379
G3600810066900,11379
G3600810062100,11379
G3600810067900,11379
G3600810061900,11379
G3600810067700,11379
G3600810065702,11379
G3600810065500,11379
G3600810050700,11379
G3600470022100,11216
G3600470024900,11216
G3600470021900,11216
G3600470026900,11216
G3600470031500,11216
G3600470031702,11216
G3600470026700,11216
G3600470024700,11216
G3600470025100,11216
G3600470024300,11216
G3600470024500,11216
G3600470031701,11216
G3600550009601,14611
G3600550008702,14611
G3600550009602,14611
G3600550006600,14611
G3600550007000,14611
G3600550007500,14611
G3600550009604,14611
G3600550006300,14611
G3600550006400,14611
G3701210950400,28777
G3701210950300,28777
G3701490980200,28756
G3701950001300,27822
G3701950000600,27822
G3700890990200,28792
G3700890990300,28792
G3700890991000,28792
G3700890991300,28792
G3700890990400,28792
G3700890990100,28792
G3700890991100,28792
G3901190982000,43701
G3901190982700,43701
G3901190981700,43701
G3901190981600,43701
G3901190982100,43701
G3901190982300,43701
G3901190981800,43701
G3901190982200,43701
G3901190981300,43701
G3901190981900,43701
G3901190981500,43701
G3901190981400,43701
G3901190982400,43701
G3901390002300,44903
G3901390000700,44903
G3901390001900,44903
G3901390001700,44903
G3901390000500,44903
G3900250040900,45176
G3900250040101,45176
G4001130010400,74035
G4000630984600,74883
G4000890998300,74766
G4100290002800,97525
G4100390005200,97405
G4100390005100,97405
G4100390005400,97405
G4100390000800,97405
G4100390003600,97405
G4100390001002,97405
G4100390005000,97405
G4100390001101,97405
G4100390004402,97405
G4100390004700,97405
G4100390004600,97405
G4100390004800,97405
G4100390005300,97405
G4200550010500,17222
G4200630961900,15717
G4200630962000,15717
G4201290807900,15717
G4200630962100,15717
G4200190910100,16049
G4200310990500,16049
G4200050981100,16201
G4200050980500,16201
G4200050980600,16201
G4200110000600,19604
G4200110000700,19604
G4200110001400,19604
G4200110000800,19604
G4200110001600,19604
G4200110001500,19604
G4200110000500,19604
G4400090050500,02822
G4500230020100,29706
G4500230020400,29706
G4500230020200,29706
G4500230020600,29706
G4500230020500,29706
G4500230020300,29706
G4500450002606,29687
G4500450002602,29687
G4500450002607,29687
G4500450002604,29687
G4500450001700,29687
G4500450001803,29687
G4500450001804,29687
G4500450002702,29687
G4500510060401,29526
G4500510060300,29526
G4500510070200,29526
G4500510060402,29526
G4500510070100,29526
G4500510070300,29526
G4500510070700,29526
G4500510060100,29526
G4500750011400,29115
G4500750010600,29115
G4500750011200,29115
G4500750010700,29115
G4500750011500,29115
G4500750011300,29115
G4701410001000,38544
G4701410001100,38544
G4700350970500,38555
G4700350970600,38555
G4700350970400,38555
G4701590975000,37145
G4701490040700,37037
G4701670040602,38019
G4701670040900,38019
G4701670040601,38019
G4701670040400,38019
G4701670040700,38019
G4700310970100,37355
G4700310970200,37355
G4700310970500,37355
G4700310970600,37355
G4700310970400,37355
G4700170962400,38321
G4700750980800,38069
G4804510001102,76901
G4804510001101,76901
G4804510001200,76901
G4804510001704,76901
G4804510001000,76901
G4804510001702,76901
G4801550950100,79227
G4802750950100,79227
G4801990030200,77659
G4800390661800,77583
